Target_protein,Target_Uniprot_AC,StringID_Target,Interactor,Interactor_UniProt_AC,StringID_Interactor,String_score,Experimental_score,Database_score,Textmining_score,PDB_ID,Experiment_Type,Resolution
SUMO3,P55854,9606.ENSP00000409666,ESRRG,P62508,9606.ENSP00000355904,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,H4C6,P62805,9606.ENSP00000244537,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,EWSR1,Q01844,9606.ENSP00000400142,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,OGDH,Q02218,9606.ENSP00000388183,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,EP300,Q09472,9606.ENSP00000263253,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,CHAF1A,Q13111,9606.ENSP00000301280,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RLF,Q13129,9606.ENSP00000361857,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,TDG,Q13569,9606.ENSP00000376611,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,NEDD8,Q15843,9606.ENSP00000250495,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,HIF1A,Q16665,9606.ENSP00000437955,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,H2BC21,Q16778,9606.ENSP00000358151,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,TSR1,Q2NL82,9606.ENSP00000301364,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,AKIRIN2,Q53H80,9606.ENSP00000257787,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,BEND3,Q5T5X7,9606.ENSP00000411268,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RNF123,Q5XPI4,9606.ENSP00000328287,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RNF111,Q6ZNA4,9606.ENSP00000453015,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,DHX30,Q7L2E3,9606.ENSP00000405620,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ARC,Q7LC44,9606.ENSP00000349022,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,NUFIP2,Q7Z417,9606.ENSP00000225388,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,MCAT,Q8IVS2,9606.ENSP00000290429,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,SLX4,Q8IY92,9606.ENSP00000294008,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RNF168,Q8IYW5,9606.ENSP00000320898,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ASCC3,Q8N3C0,9606.ENSP00000358159,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,FAM98A,Q8NCA5,9606.ENSP00000238823,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ARID1B,Q8NFD5,9606.ENSP00000490491,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ITFG1,Q8TB96,9606.ENSP00000319918,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ATXN2L,Q8WWM7,9606.ENSP00000378917,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,PBXIP1,Q96AQ6,9606.ENSP00000357448,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RBM33,Q96EV2,9606.ENSP00000384160,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,WWTR1,Q9GZV5,9606.ENSP00000419465,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,HIPK2,Q9H2X6,9606.ENSP00000385571,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ZNF106,Q9H2Y7,9606.ENSP00000263805,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,PLEKHA4,Q9H4M7,9606.ENSP00000263265,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,EGLN3,Q9H6Z9,9606.ENSP00000250457,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,CHD8,Q9HCK8,9606.ENSP00000495240,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,USP25,Q9UHP3,9606.ENSP00000383044,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,NCOR2,Q9Y618,9606.ENSP00000384018,0.292,0.292,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RANBP2,P49792,9606.ENSP00000283195,0.266,0.13,0.0,0.191,,,
SUMO3,P55854,9606.ENSP00000409666,ACTN2,P35609,9606.ENSP00000355537,0.252,0.253,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RAD51,Q06609,9606.ENSP00000493712,0.245,0.134,0.0,0.165,,,
SUMO3,P55854,9606.ENSP00000409666,ALDOB,P05062,9606.ENSP00000497767,0.236,0.236,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,AQP11,Q8NBQ7,9606.ENSP00000318770,0.236,0.235,0.0,0.043,,,
SUMO3,P55854,9606.ENSP00000409666,UCHL3,P15374,9606.ENSP00000366819,0.231,0.232,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,MTAP,Q13126,9606.ENSP00000494373,0.226,0.227,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ATXN7,O15265,9606.ENSP00000295900,0.225,0.226,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,IRF7,Q92985,9606.ENSP00000380697,0.225,0.226,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,OTUB2,Q96DC9,9606.ENSP00000203664,0.225,0.226,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,PGD,P52209,9606.ENSP00000270776,0.224,0.224,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,PLPBP,O94903,9606.ENSP00000333551,0.223,0.223,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ECHS1,P30084,9606.ENSP00000357535,0.223,0.223,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,SEC23A,Q15436,9606.ENSP00000306881,0.219,0.219,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,SEC23B,Q15437,9606.ENSP00000338844,0.217,0.217,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2A,P49459,9606.ENSP00000360613,0.214,0.131,0.0,0.133,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2B,P63146,9606.ENSP00000265339,0.214,0.131,0.0,0.133,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2S,Q16763,9606.ENSP00000264552,0.214,0.131,0.0,0.133,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2U,Q5VVX9,9606.ENSP00000360116,0.214,0.131,0.0,0.133,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2W,Q96B02,9606.ENSP00000498255,0.214,0.131,0.0,0.133,,,
SUMO3,P55854,9606.ENSP00000409666,BIRC6,Q9NR09,9606.ENSP00000393596,0.214,0.131,0.0,0.133,,,
SUMO3,P55854,9606.ENSP00000409666,DYNLT1,P63172,9606.ENSP00000356056,0.211,0.211,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,CDC34,P49427,9606.ENSP00000215574,0.202,0.131,0.0,0.12,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2E1,P51965,9606.ENSP00000303709,0.202,0.131,0.0,0.12,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2G1,P62253,9606.ENSP00000380178,0.202,0.131,0.0,0.12,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2R2,Q712K3,9606.ENSP00000263228,0.202,0.131,0.0,0.12,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2E3,Q969T4,9606.ENSP00000473623,0.202,0.131,0.0,0.12,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2E2,Q96LR5,9606.ENSP00000379931,0.202,0.131,0.0,0.12,,,
SUMO3,P55854,9606.ENSP00000409666,ZMIZ2,Q8NF64,9606.ENSP00000311778,0.201,0.201,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ZMIZ1,Q9ULJ6,9606.ENSP00000334474,0.201,0.201,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2D3,A0A087WY85,9606.ENSP00000349722,0.198,0.131,0.0,0.116,,,
SUMO3,P55854,9606.ENSP00000409666,FAM221A,A4D161,9606.ENSP00000342576,0.198,0.198,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2D1,P51668,9606.ENSP00000363019,0.198,0.131,0.0,0.116,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2D3,P61077,9606.ENSP00000349722,0.198,0.131,0.0,0.116,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2N,P61088,9606.ENSP00000316176,0.198,0.131,0.0,0.116,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2D2,P62837,9606.ENSP00000381717,0.198,0.131,0.0,0.116,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2L3,P68036,9606.ENSP00000400906,0.198,0.131,0.0,0.116,,,
SUMO3,P55854,9606.ENSP00000409666,CNFN,Q9BYD5,9606.ENSP00000222032,0.198,0.131,0.0,0.116,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2T,Q9NPD8,9606.ENSP00000494957,0.198,0.131,0.0,0.116,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2D4,Q9Y2X8,9606.ENSP00000222402,0.198,0.131,0.0,0.116,,,
SUMO3,P55854,9606.ENSP00000409666,ZBTB33,Q86T24,9606.ENSP00000450969,0.196,0.196,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ZBTB39,O15060,9606.ENSP00000300101,0.195,0.195,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,RAN,P62826,9606.ENSP00000446215,0.195,0.195,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ZNF496,Q96IT1,9606.ENSP00000294753,0.195,0.195,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,XPO1,O14980,9606.ENSP00000384863,0.193,0.193,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,SENP3,Q9H4L4,9606.ENSP00000314029,0.187,0.187,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2L5,A0A1B0GUS4,9606.ENSP00000490225,0.186,0.131,0.0,0.102,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2C,O00762,9606.ENSP00000348838,0.186,0.131,0.0,0.102,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2L6,O14933,9606.ENSP00000287156,0.186,0.131,0.0,0.102,,,
SUMO3,P55854,9606.ENSP00000409666,STIP1,P31948,9606.ENSP00000351646,0.186,0.186,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,TAGLN2,P37802,9606.ENSP00000357076,0.186,0.186,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2O,Q9C0C9,9606.ENSP00000323687,0.186,0.131,0.0,0.102,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2Z,Q9H832,9606.ENSP00000354201,0.186,0.131,0.0,0.102,,,
SUMO3,P55854,9606.ENSP00000409666,UBE2J1,Q9Y385,9606.ENSP00000451261,0.186,0.131,0.0,0.102,,,
SUMO3,P55854,9606.ENSP00000409666,ENO2,P09104,9606.ENSP00000437402,0.183,0.183,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,FKBP2,P26885,9606.ENSP00000378046,0.179,0.179,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ARHGDIA,P52565,9606.ENSP00000463939,0.179,0.18,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,TAGLN3,Q9UI15,9606.ENSP00000377494,0.179,0.18,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,PFKM,P08237,9606.ENSP00000496597,0.177,0.177,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,ISYNA1,Q9NPH2,9606.ENSP00000337746,0.175,0.176,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,INPPL1,O15357,9606.ENSP00000298229,0.173,0.174,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,UPF2,Q9HAU5,9606.ENSP00000348708,0.171,0.172,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,CARM1,Q86X55,9606.ENSP00000325690,0.167,0.168,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,DRAP1,Q14919,9606.ENSP00000307850,0.165,0.165,0.0,0.0,,,
SUMO3,P55854,9606.ENSP00000409666,TP53,P04637,9606.ENSP00000269305,0.163,0.164,0.0,0.0,,,
